Project ID,Report Date,Number of Tasks Completed,Number of Tasks In Progress,Number of Delayed Tasks,Daily Progress Percentage
PRJ_057,2023-01-11,14,8,3,15.87
PRJ_057,2023-01-12,16,10,5,17.8
PRJ_057,2023-01-13,16,12,5,20.02
PRJ_057,2023-01-14,20,11,6,22.4
PRJ_057,2023-01-15,22,11,7,24.58
PRJ_057,2023-01-16,22,13,8,26.54
PRJ_057,2023-01-17,25,16,10,28.92
PRJ_057,2023-01-18,26,16,13,31.66
PRJ_057,2023-01-19,28,18,13,34.14
PRJ_057,2023-01-20,31,20,14,36.99
PRJ_057,2023-01-21,31,24,17,40.11
PRJ_057,2023-01-22,34,25,18,43.92
PRJ_058,2023-01-04,0,4,0,0.92
PRJ_058,2023-01-05,0,5,0,2.17
PRJ_058,2023-01-06,2,4,0,3.75
PRJ_058,2023-01-07,4,4,0,4.92
PRJ_058,2023-01-08,5,9,0,5.94
PRJ_058,2023-01-09,5,12,0,8.17
PRJ_058,2023-01-10,7,11,3,11.4
PRJ_058,2023-01-11,10,13,4,14.38
PRJ_058,2023-01-12,13,14,6,17.19
PRJ_058,2023-01-13,15,15,8,19.87
PRJ_058,2023-01-14,18,19,8,22.75
PRJ_058,2023-01-15,20,20,10,26.46
PRJ_058,2023-01-16,24,17,10,30.33
PRJ_058,2023-01-17,28,18,10,33.51
PRJ_058,2023-01-18,30,18,10,36.67
PRJ_058,2023-01-19,32,17,12,39.63
PRJ_058,2023-01-20,35,18,13,42.14
PRJ_058,2023-01-21,37,21,13,44.37
PRJ_058,2023-01-22,37,23,14,47.16
PRJ_059,2023-01-05,0,5,0,1.67
PRJ_059,2023-01-06,2,6,0,3.33
PRJ_059,2023-01-07,3,7,0,5.25
PRJ_059,2023-01-08,5,9,0,7.5
PRJ_059,2023-01-09,7,8,0,10.21
PRJ_059,2023-01-10,10,8,0,12.58
PRJ_059,2023-01-11,13,6,2,14.67
PRJ_059,2023-01-12,14,8,4,16.08
PRJ_059,2023-01-13,15,10,4,17.41
PRJ_059,2023-01-14,16,14,6,19.16
PRJ_059,2023-01-15,16,16,7,21.73
PRJ_059,2023-01-16,19,17,5,24.62
PRJ_059,2023-01-17,22,17,8,27.93
PRJ_059,2023-01-18,23,21,9,31.06
PRJ_059,2023-01-19,28,22,10,34.96
PRJ_059,2023-01-20,31,21,11,38.82
PRJ_059,2023-01-21,33,21,12,42.4
PRJ_059,2023-01-22,37,19,13,45.98
PRJ_060,2023-01-05,0,5,0,1.58
PRJ_060,2023-01-06,1,6,0,3.17
PRJ_060,2023-01-07,3,6,0,5.08
PRJ_060,2023-01-08,5,7,0,6.73
PRJ_060,2023-01-09,7,11,0,8.67
PRJ_060,2023-01-10,7,15,0,11.49
PRJ_060,2023-01-11,9,15,2,15.17
PRJ_060,2023-01-12,14,11,3,18.61
PRJ_060,2023-01-13,17,13,3,20.98
PRJ_060,2023-01-14,20,12,4,23.98
PRJ_060,2023-01-15,21,15,6,26.86
PRJ_060,2023-01-16,25,14,5,30.16
PRJ_060,2023-01-17,28,13,5,33.03
PRJ_060,2023-01-18,30,16,6,35.65
PRJ_060,2023-01-19,33,14,7,38.92
PRJ_060,2023-01-20,36,14,8,41.61
PRJ_060,2023-01-21,40,15,6,44.02
PRJ_060,2023-01-22,41,15,6,46.62
PRJ_061,2023-01-05,0,7,0,1.33
PRJ_061,2023-01-06,1,10,0,3.53
PRJ_061,2023-01-07,3,9,0,6.6
PRJ_061,2023-01-08,6,7,0,9.33
PRJ_061,2023-01-09,9,4,0,11.4
PRJ_061,2023-01-10,11,4,0,12.47
PRJ_061,2023-01-11,13,3,2,13.67
PRJ_061,2023-01-12,13,7,2,14.53
PRJ_061,2023-01-13,15,9,2,16.22
PRJ_061,2023-01-14,15,11,3,18.22
PRJ_061,2023-01-15,17,13,5,20.88
PRJ_061,2023-01-16,20,14,7,23.83
PRJ_061,2023-01-17,22,16,10,26.72
PRJ_061,2023-01-18,25,17,11,30.03
PRJ_061,2023-01-19,27,17,13,33.03
PRJ_061,2023-01-20,31,17,15,35.78
PRJ_061,2023-01-21,32,18,15,38.01
PRJ_061,2023-01-22,34,17,15,40.07
PRJ_062,2023-01-05,0,5,0,1.33
PRJ_062,2023-01-06,1,6,0,3.0
PRJ_062,2023-01-07,3,5,0,5.0
PRJ_062,2023-01-08,5,5,0,6.46
PRJ_062,2023-01-09,7,6,0,7.78
PRJ_062,2023-01-10,7,7,0,9.31
PRJ_062,2023-01-11,8,10,3,11.17
PRJ_062,2023-01-12,10,13,4,13.44
PRJ_062,2023-01-13,12,12,5,16.2
PRJ_062,2023-01-14,14,12,6,18.76
PRJ_062,2023-01-15,18,9,7,21.2
PRJ_062,2023-01-16,20,9,9,22.59
PRJ_062,2023-01-17,21,11,10,23.86
PRJ_062,2023-01-18,21,12,12,25.04
PRJ_062,2023-01-19,23,13,13,26.29
PRJ_062,2023-01-20,23,19,14,27.83
PRJ_062,2023-01-21,23,22,16,30.6
PRJ_062,2023-01-22,26,25,17,34.1
PRJ_063,2023-01-05,0,6,0,1.67
PRJ_063,2023-01-06,2,6,0,3.53
PRJ_063,2023-01-07,3,8,0,5.32
PRJ_063,2023-01-08,5,7,0,7.44
PRJ_063,2023-01-09,6,8,0,9.1
PRJ_063,2023-01-10,9,8,0,10.89
PRJ_063,2023-01-11,9,11,1,12.56
PRJ_063,2023-01-12,11,13,3,15.11
PRJ_063,2023-01-13,13,14,3,17.96
PRJ_063,2023-01-14,16,14,3,21.08
PRJ_063,2023-01-15,19,14,5,23.93
PRJ_063,2023-01-16,22,17,7,26.91
PRJ_063,2023-01-17,24,17,7,30.2
PRJ_063,2023-01-18,28,17,9,33.89
PRJ_063,2023-01-19,31,18,10,36.96
PRJ_063,2023-01-20,33,19,11,39.79
PRJ_063,2023-01-21,36,20,11,42.95
PRJ_063,2023-01-22,37,21,11,46.53
PRJ_064,2023-01-05,0,4,0,0.67
PRJ_064,2023-01-06,1,7,0,1.87
PRJ_064,2023-01-07,1,8,0,3.93
PRJ_064,2023-01-08,3,6,0,6.2
PRJ_064,2023-01-09,6,6,0,7.8
PRJ_064,2023-01-10,7,7,0,9.4
PRJ_064,2023-01-11,8,11,2,11.23
PRJ_064,2023-01-12,12,16,4,13.83
PRJ_064,2023-01-13,13,20,4,17.33
PRJ_064,2023-01-14,14,20,5,21.37
PRJ_064,2023-01-15,18,18,8,25.41
PRJ_064,2023-01-16,21,17,11,28.7
PRJ_064,2023-01-17,25,14,9,31.36
PRJ_064,2023-01-18,27,16,10,33.49
PRJ_064,2023-01-19,29,16,9,35.89
PRJ_064,2023-01-20,32,17,7,38.3
PRJ_064,2023-01-21,35,18,7,41.12
PRJ_064,2023-01-22,35,23,8,44.39
PRJ_065,2023-01-05,0,4,0,1.33
PRJ_065,2023-01-06,2,5,0,2.67
PRJ_065,2023-01-07,2,7,0,4.2
PRJ_065,2023-01-08,4,8,0,6.4
PRJ_065,2023-01-09,6,7,0,8.8
PRJ_065,2023-01-10,8,7,0,10.87
PRJ_065,2023-01-11,11,8,2,12.93
PRJ_065,2023-01-12,12,10,4,15.2
PRJ_065,2023-01-13,15,10,5,17.62
PRJ_065,2023-01-14,17,12,6,19.66
PRJ_065,2023-01-15,18,14,7,21.77
PRJ_065,2023-01-16,21,13,8,24.29
PRJ_065,2023-01-17,22,14,9,26.35
PRJ_065,2023-01-18,24,14,10,28.29
PRJ_065,2023-01-19,25,15,11,30.01
PRJ_065,2023-01-20,25,19,13,31.94
PRJ_065,2023-01-21,27,20,15,34.69
PRJ_065,2023-01-22,29,22,15,37.51
PRJ_066,2023-01-05,0,4,0,0.67
PRJ_066,2023-01-06,0,6,0,1.83
PRJ_066,2023-01-07,2,6,0,3.67
PRJ_066,2023-01-08,3,6,0,5.37
PRJ_066,2023-01-09,5,8,0,6.93
PRJ_066,2023-01-10,6,10,0,8.74
PRJ_066,2023-01-11,7,12,3,10.71
PRJ_066,2023-01-12,10,14,4,13.38
PRJ_066,2023-01-13,11,17,5,16.12
PRJ_066,2023-01-14,13,20,7,19.57
PRJ_066,2023-01-15,16,21,8,23.38
PRJ_066,2023-01-16,21,19,9,27.35
PRJ_066,2023-01-17,24,22,9,30.81
PRJ_066,2023-01-18,25,24,11,34.65
PRJ_066,2023-01-19,30,22,11,38.87
PRJ_066,2023-01-20,33,22,11,42.28
PRJ_066,2023-01-21,36,23,10,45.72
PRJ_066,2023-01-22,40,20,10,49.61
PRJ_067,2023-01-05,0,6,0,2.0
PRJ_067,2023-01-06,2,8,0,3.87
PRJ_067,2023-01-07,4,8,0,6.4
PRJ_067,2023-01-08,5,9,0,8.8
PRJ_067,2023-01-09,9,8,0,11.53
PRJ_067,2023-01-10,11,7,0,13.72
PRJ_067,2023-01-11,13,5,1,15.72
PRJ_067,2023-01-12,16,4,2,17.04
PRJ_067,2023-01-13,17,5,3,17.91
PRJ_067,2023-01-14,17,7,3,18.72
PRJ_067,2023-01-15,18,6,5,19.83
PRJ_067,2023-01-16,18,10,6,20.61
PRJ_067,2023-01-17,19,12,7,22.34
PRJ_067,2023-01-18,20,17,9,24.68
PRJ_067,2023-01-19,23,19,11,28.17
PRJ_067,2023-01-20,25,20,13,31.72
PRJ_067,2023-01-21,29,19,16,35.09
PRJ_067,2023-01-22,31,24,18,38.0
PRJ_068,2023-01-05,0,6,0,1.92
PRJ_068,2023-01-06,2,5,0,3.83
PRJ_068,2023-01-07,3,7,0,5.42
PRJ_068,2023-01-08,6,6,0,7.67
PRJ_068,2023-01-09,7,8,0,9.37
PRJ_068,2023-01-10,10,5,0,11.57
PRJ_068,2023-01-11,10,11,1,12.77
PRJ_068,2023-01-12,12,11,3,15.37
PRJ_068,2023-01-13,13,12,4,17.73
PRJ_068,2023-01-14,16,10,5,20.12
PRJ_068,2023-01-15,19,10,4,22.01
PRJ_068,2023-01-16,21,12,7,23.77
PRJ_068,2023-01-17,22,16,7,26.29
PRJ_068,2023-01-18,23,19,9,29.13
PRJ_068,2023-01-19,27,17,9,32.77
PRJ_068,2023-01-20,29,17,12,35.47
PRJ_068,2023-01-21,32,19,14,38.06
PRJ_068,2023-01-22,34,18,14,40.45
PRJ_069,2023-01-05,0,4,0,1.33
PRJ_069,2023-01-06,2,5,0,2.53
PRJ_069,2023-01-07,2,6,0,4.07
PRJ_069,2023-01-08,3,6,0,5.93
PRJ_069,2023-01-09,6,4,0,7.8
PRJ_069,2023-01-10,8,5,0,9.0
PRJ_069,2023-01-11,9,6,1,10.53
PRJ_069,2023-01-12,10,10,4,12.27
PRJ_069,2023-01-13,12,14,6,14.94
PRJ_069,2023-01-14,13,16,7,17.95
PRJ_069,2023-01-15,17,16,9,20.88
PRJ_069,2023-01-16,20,14,10,23.45
PRJ_069,2023-01-17,21,16,12,25.23
PRJ_069,2023-01-18,23,17,12,27.82
PRJ_069,2023-01-19,23,19,14,30.47
PRJ_069,2023-01-20,26,20,15,33.8
PRJ_069,2023-01-21,28,21,16,36.58
PRJ_069,2023-01-22,30,22,19,39.44
PRJ_070,2023-01-05,0,6,0,1.58
PRJ_070,2023-01-06,2,7,0,3.5
PRJ_070,2023-01-07,2,8,0,5.58
PRJ_070,2023-01-08,6,6,0,8.0
PRJ_070,2023-01-09,8,7,0,9.83
PRJ_070,2023-01-10,9,9,0,12.0
PRJ_070,2023-01-11,11,9,1,14.67
PRJ_070,2023-01-12,15,6,3,16.87
PRJ_070,2023-01-13,17,8,3,18.1
PRJ_070,2023-01-14,17,12,5,19.48
PRJ_070,2023-01-15,17,19,7,21.59
PRJ_070,2023-01-16,19,18,7,25.17
PRJ_070,2023-01-17,21,19,8,28.45
PRJ_070,2023-01-18,26,17,8,32.03
PRJ_070,2023-01-19,27,18,9,35.21
PRJ_070,2023-01-20,29,22,12,38.61
PRJ_070,2023-01-21,37,19,11,42.76
PRJ_070,2023-01-22,37,21,12,45.77
PRJ_071,2023-01-05,0,9,0,3.0
PRJ_071,2023-01-06,3,6,0,5.87
PRJ_071,2023-01-07,6,5,0,7.73
PRJ_071,2023-01-08,8,4,0,9.18
PRJ_071,2023-01-09,8,6,0,10.22
PRJ_071,2023-01-10,10,6,0,11.83
PRJ_071,2023-01-11,11,7,0,13.5
PRJ_071,2023-01-12,13,8,0,15.36
PRJ_071,2023-01-13,15,10,1,17.3
PRJ_071,2023-01-14,17,11,4,19.55
PRJ_071,2023-01-15,18,16,5,21.61
PRJ_071,2023-01-16,19,17,7,24.49
PRJ_071,2023-01-17,20,18,9,27.31
PRJ_071,2023-01-18,24,16,10,30.34
PRJ_071,2023-01-19,26,16,9,32.63
PRJ_071,2023-01-20,29,14,9,35.22
PRJ_071,2023-01-21,32,14,9,37.37
PRJ_071,2023-01-22,35,18,11,39.82
PRJ_072,2023-01-05,0,5,0,2.0
PRJ_072,2023-01-06,2,4,0,3.67
PRJ_072,2023-01-07,4,4,0,5.0
PRJ_072,2023-01-08,5,8,0,6.07
PRJ_072,2023-01-09,6,10,0,7.93
PRJ_072,2023-01-10,6,13,0,10.29
PRJ_072,2023-01-11,7,14,2,13.19
PRJ_072,2023-01-12,12,12,3,16.11
PRJ_072,2023-01-13,14,17,4,18.34
PRJ_072,2023-01-14,15,18,6,21.29
PRJ_072,2023-01-15,20,17,5,24.31
PRJ_072,2023-01-16,20,17,5,27.4
PRJ_072,2023-01-17,23,17,7,30.5
PRJ_072,2023-01-18,27,15,9,33.62
PRJ_072,2023-01-19,28,18,9,36.05
PRJ_072,2023-01-20,31,18,9,39.13
PRJ_072,2023-01-21,34,18,7,41.91
PRJ_072,2023-01-22,40,16,10,45.07
PRJ_073,2023-01-06,0,1,0,0.67
PRJ_073,2023-01-07,1,4,0,1.0
PRJ_073,2023-01-08,1,8,0,2.07
PRJ_073,2023-01-09,1,12,0,4.01
PRJ_073,2023-01-10,3,13,0,6.62
PRJ_073,2023-01-11,4,15,0,9.17
PRJ_073,2023-01-12,7,17,3,12.02
PRJ_073,2023-01-13,9,16,4,15.01
PRJ_073,2023-01-14,11,19,6,17.74
PRJ_073,2023-01-15,12,19,6,21.16
PRJ_073,2023-01-16,17,17,5,24.61
PRJ_073,2023-01-17,20,19,7,27.72
PRJ_073,2023-01-18,23,22,7,30.89
PRJ_073,2023-01-19,26,23,6,34.81
PRJ_073,2023-01-20,30,21,6,38.92
PRJ_073,2023-01-21,34,21,6,43.08
PRJ_073,2023-01-22,39,18,5,47.16
PRJ_074,2023-01-06,0,7,0,1.67
PRJ_074,2023-01-07,1,7,0,3.87
PRJ_074,2023-01-08,4,7,0,5.9
PRJ_074,2023-01-09,6,8,0,7.93
PRJ_074,2023-01-10,6,9,0,9.94
PRJ_074,2023-01-11,10,10,0,12.29
PRJ_074,2023-01-12,11,9,2,14.39
PRJ_074,2023-01-13,13,11,1,16.16
PRJ_074,2023-01-14,15,10,2,18.55
PRJ_074,2023-01-15,16,14,5,20.65
PRJ_074,2023-01-16,18,14,5,23.78
PRJ_074,2023-01-17,19,14,7,26.68
PRJ_074,2023-01-18,25,11,8,29.66
PRJ_074,2023-01-19,29,13,6,31.73
PRJ_074,2023-01-20,31,13,8,34.24
PRJ_074,2023-01-21,32,16,8,36.53
PRJ_074,2023-01-22,35,15,11,39.08
PRJ_075,2023-01-06,0,5,0,2.33
PRJ_075,2023-01-07,3,4,0,4.0
PRJ_075,2023-01-08,4,5,0,5.03
PRJ_075,2023-01-09,5,5,0,6.18
PRJ_075,2023-01-10,5,9,0,7.14
PRJ_075,2023-01-11,5,12,0,9.27
PRJ_075,2023-01-12,7,11,1,12.31
PRJ_075,2023-01-13,11,11,1,15.24
PRJ_075,2023-01-14,15,8,2,17.88
PRJ_075,2023-01-15,17,9,5,19.69
PRJ_075,2023-01-16,19,13,7,21.69
PRJ_075,2023-01-17,20,17,8,24.01
PRJ_075,2023-01-18,23,19,9,26.91
PRJ_075,2023-01-19,24,19,9,30.11
PRJ_075,2023-01-20,25,20,11,33.12
PRJ_075,2023-01-21,29,17,13,36.22
PRJ_075,2023-01-22,30,20,15,38.47
PRJ_076,2023-01-06,0,4,0,1.83
PRJ_076,2023-01-07,1,9,0,3.08
PRJ_076,2023-01-08,4,8,0,5.45
PRJ_076,2023-01-09,4,11,0,7.57
PRJ_076,2023-01-10,7,10,0,10.52
PRJ_076,2023-01-11,9,11,0,12.93
PRJ_076,2023-01-12,11,12,2,15.46
PRJ_076,2023-01-13,13,13,2,17.9
PRJ_076,2023-01-14,17,11,3,20.45
PRJ_076,2023-01-15,19,15,3,22.38
PRJ_076,2023-01-16,20,17,4,25.08
PRJ_076,2023-01-17,20,19,5,28.24
PRJ_076,2023-01-18,22,18,7,31.78
PRJ_076,2023-01-19,28,16,6,34.96
PRJ_076,2023-01-20,30,20,6,37.97
PRJ_076,2023-01-21,35,18,6,41.67
PRJ_076,2023-01-22,40,20,5,44.96
PRJ_077,2023-01-06,0,7,0,2.0
PRJ_077,2023-01-07,2,6,0,4.33
PRJ_077,2023-01-08,4,5,0,6.33
PRJ_077,2023-01-09,7,5,0,8.0
PRJ_077,2023-01-10,8,7,0,9.67
PRJ_077,2023-01-11,9,10,0,12.0
PRJ_077,2023-01-12,12,8,2,15.12
PRJ_077,2023-01-13,15,8,3,17.34
PRJ_077,2023-01-14,18,7,3,19.3
PRJ_077,2023-01-15,18,9,6,20.46
PRJ_077,2023-01-16,20,9,8,21.81
PRJ_077,2023-01-17,20,15,8,22.98
PRJ_077,2023-01-18,20,20,9,25.29
PRJ_077,2023-01-19,22,21,8,28.79
PRJ_077,2023-01-20,24,22,11,32.83
PRJ_077,2023-01-21,26,26,13,36.85
PRJ_077,2023-01-22,32,21,14,41.36
PRJ_078,2023-01-06,0,5,0,0.33
PRJ_078,2023-01-07,0,7,0,1.57
PRJ_078,2023-01-08,1,10,0,3.47
PRJ_078,2023-01-09,1,12,0,6.04
PRJ_078,2023-01-10,5,11,0,9.06
PRJ_078,2023-01-11,9,10,0,11.48
PRJ_078,2023-01-12,10,11,2,13.42
PRJ_078,2023-01-13,12,10,3,15.51
PRJ_078,2023-01-14,13,10,5,17.32
PRJ_078,2023-01-15,15,11,5,18.92
PRJ_078,2023-01-16,15,17,6,20.58
PRJ_078,2023-01-17,16,20,8,22.97
PRJ_078,2023-01-18,20,19,8,25.84
PRJ_078,2023-01-19,22,21,8,28.39
PRJ_078,2023-01-20,23,27,9,31.38
PRJ_078,2023-01-21,23,31,12,35.76
PRJ_078,2023-01-22,28,27,13,41.13
PRJ_079,2023-01-06,0,2,0,0.5
PRJ_079,2023-01-07,0,4,0,1.0
PRJ_079,2023-01-08,0,8,0,2.17
PRJ_079,2023-01-09,2,12,0,4.32
PRJ_079,2023-01-10,4,12,0,7.3
PRJ_079,2023-01-11,6,10,0,10.28
PRJ_079,2023-01-12,8,10,2,12.58
PRJ_079,2023-01-13,11,13,5,14.72
PRJ_079,2023-01-14,13,14,7,16.95
PRJ_079,2023-01-15,13,17,7,19.06
PRJ_079,2023-01-16,17,15,7,21.91
PRJ_079,2023-01-17,19,18,6,24.46
PRJ_079,2023-01-18,21,18,8,28.02
PRJ_079,2023-01-19,23,19,8,31.58
PRJ_079,2023-01-20,27,17,11,34.98
PRJ_079,2023-01-21,30,17,11,37.57
PRJ_079,2023-01-22,33,17,12,39.89
PRJ_080,2023-01-06,0,4,0,1.67
PRJ_080,2023-01-07,2,5,0,3.0
PRJ_080,2023-01-08,3,4,0,4.53
PRJ_080,2023-01-09,4,5,0,5.73
PRJ_080,2023-01-10,6,7,0,7.06
PRJ_080,2023-01-11,6,9,0,8.78
PRJ_080,2023-01-12,8,8,2,11.01
PRJ_080,2023-01-13,10,9,3,13.03
PRJ_080,2023-01-14,11,9,5,14.66
PRJ_080,2023-01-15,14,13,7,16.16
PRJ_080,2023-01-16,14,17,8,18.45
PRJ_080,2023-01-17,16,15,8,21.45
PRJ_080,2023-01-18,19,15,10,24.16
PRJ_080,2023-01-19,22,20,12,26.53
PRJ_080,2023-01-20,22,21,13,29.76
PRJ_080,2023-01-21,24,20,17,33.08
PRJ_080,2023-01-22,29,23,17,36.02
PRJ_081,2023-01-06,0,6,0,2.0
PRJ_081,2023-01-07,2,7,0,4.0
PRJ_081,2023-01-08,4,6,0,6.33
PRJ_081,2023-01-09,6,6,0,8.33
PRJ_081,2023-01-10,9,6,0,10.12
PRJ_081,2023-01-11,10,5,0,11.83
PRJ_081,2023-01-12,11,6,2,13.21
PRJ_081,2023-01-13,13,9,3,14.83
PRJ_081,2023-01-14,14,11,4,16.78
PRJ_081,2023-01-15,15,13,5,19.23
PRJ_081,2023-01-16,18,13,7,22.1
PRJ_081,2023-01-17,21,17,7,24.83
PRJ_081,2023-01-18,23,17,9,28.16
PRJ_081,2023-01-19,26,17,10,31.23
PRJ_081,2023-01-20,28,18,12,34.22
PRJ_081,2023-01-21,30,20,14,36.91
PRJ_081,2023-01-22,33,20,15,39.85
PRJ_082,2023-01-06,0,7,0,2.33
PRJ_082,2023-01-07,2,5,0,4.67
PRJ_082,2023-01-08,5,4,0,6.33
PRJ_082,2023-01-09,7,5,0,7.58
PRJ_082,2023-01-10,7,7,0,9.08
PRJ_082,2023-01-11,8,7,0,11.25
PRJ_082,2023-01-12,11,7,2,13.42
PRJ_082,2023-01-13,14,8,2,15.31
PRJ_082,2023-01-14,15,8,3,16.98
PRJ_082,2023-01-15,16,9,6,18.64
PRJ_082,2023-01-16,17,11,7,20.38
PRJ_082,2023-01-17,19,14,8,22.28
PRJ_082,2023-01-18,21,13,9,24.58
PRJ_082,2023-01-19,22,15,10,26.42
PRJ_082,2023-01-20,23,18,12,28.36
PRJ_082,2023-01-21,24,23,14,30.64
PRJ_082,2023-01-22,26,28,16,33.85
PRJ_083,2023-01-06,0,3,0,1.33
PRJ_083,2023-01-07,2,4,0,2.2
PRJ_083,2023-01-08,2,4,0,3.08
PRJ_083,2023-01-09,2,10,0,3.95
PRJ_083,2023-01-10,3,12,0,6.4
PRJ_083,2023-01-11,4,15,0,9.13
PRJ_083,2023-01-12,8,15,1,12.52
PRJ_083,2023-01-13,9,19,4,15.65
PRJ_083,2023-01-14,13,19,5,19.48
PRJ_083,2023-01-15,17,17,5,23.36
PRJ_083,2023-01-16,20,18,7,26.65
PRJ_083,2023-01-17,22,18,7,30.02
PRJ_083,2023-01-18,26,17,7,33.16
PRJ_083,2023-01-19,30,18,6,36.39
PRJ_083,2023-01-20,32,16,6,39.77
PRJ_083,2023-01-21,37,14,5,42.66
PRJ_083,2023-01-22,38,14,6,45.1
PRJ_084,2023-01-06,0,3,0,0.33
PRJ_084,2023-01-07,0,6,0,1.25
PRJ_084,2023-01-08,1,10,0,3.0
PRJ_084,2023-01-09,2,12,0,5.63
PRJ_084,2023-01-10,5,11,0,8.32
PRJ_084,2023-01-11,7,13,0,10.55
PRJ_084,2023-01-12,7,15,4,13.17
PRJ_084,2023-01-13,11,15,4,16.24
PRJ_084,2023-01-14,13,15,6,19.36
PRJ_084,2023-01-15,16,15,4,22.41
PRJ_084,2023-01-16,20,12,5,25.23
PRJ_084,2023-01-17,22,14,5,27.32
PRJ_084,2023-01-18,24,16,7,29.89
PRJ_084,2023-01-19,27,19,6,32.94
PRJ_084,2023-01-20,29,19,8,36.34
PRJ_084,2023-01-21,35,15,5,39.31
PRJ_084,2023-01-22,36,18,7,41.71
PRJ_085,2023-01-06,0,5,0,1.33
PRJ_085,2023-01-07,2,8,0,2.78
PRJ_085,2023-01-08,2,10,0,5.02
PRJ_085,2023-01-09,3,11,0,7.67
PRJ_085,2023-01-10,7,9,0,10.43
PRJ_085,2023-01-11,9,10,0,12.47
PRJ_085,2023-01-12,12,9,1,14.93
PRJ_085,2023-01-13,13,9,2,17.28
PRJ_085,2023-01-14,16,10,2,19.62
PRJ_085,2023-01-15,19,11,2,22.05
PRJ_085,2023-01-16,21,14,4,24.29
PRJ_085,2023-01-17,23,15,5,27.03
PRJ_085,2023-01-18,25,16,7,29.97
PRJ_085,2023-01-19,27,16,8,32.99
PRJ_085,2023-01-20,29,20,9,35.75
PRJ_085,2023-01-21,31,21,11,39.12
PRJ_085,2023-01-22,36,16,9,42.77
PRJ_086,2023-01-06,0,6,0,1.67
PRJ_086,2023-01-07,2,6,0,3.67
PRJ_086,2023-01-08,3,8,0,5.5
PRJ_086,2023-01-09,6,7,0,7.92
PRJ_086,2023-01-10,7,6,0,10.0
PRJ_086,2023-01-11,9,7,0,11.75
PRJ_086,2023-01-12,12,6,2,13.6
PRJ_086,2023-01-13,13,5,3,15.07
PRJ_086,2023-01-14,15,5,3,16.37
PRJ_086,2023-01-15,16,8,5,17.15
PRJ_086,2023-01-16,16,14,6,18.59
PRJ_086,2023-01-17,17,19,7,21.05
PRJ_086,2023-01-18,19,19,10,24.41
PRJ_086,2023-01-19,21,24,11,27.56
PRJ_086,2023-01-20,23,22,13,31.6
PRJ_086,2023-01-21,26,23,15,35.1
PRJ_086,2023-01-22,30,24,18,38.87
PRJ_087,2023-01-06,0,5,0,1.0
PRJ_087,2023-01-07,1,5,0,2.67
PRJ_087,2023-01-08,2,5,0,4.33
PRJ_087,2023-01-09,5,6,0,6.0
PRJ_087,2023-01-10,6,8,0,7.87
PRJ_087,2023-01-11,7,9,0,10.27
PRJ_087,2023-01-12,10,8,3,13.0
PRJ_087,2023-01-13,12,11,5,15.27
PRJ_087,2023-01-14,15,10,5,17.76
PRJ_087,2023-01-15,17,9,7,19.55
PRJ_087,2023-01-16,19,9,8,21.13
PRJ_087,2023-01-17,20,10,8,22.21
PRJ_087,2023-01-18,21,12,9,23.35
PRJ_087,2023-01-19,21,16,10,24.9
PRJ_087,2023-01-20,21,19,12,27.53
PRJ_087,2023-01-21,22,20,14,30.76
PRJ_087,2023-01-22,26,20,17,33.82
PRJ_088,2023-01-07,0,5,0,2.67
PRJ_088,2023-01-08,3,5,0,4.33
PRJ_088,2023-01-09,5,5,0,5.83
PRJ_088,2023-01-10,5,8,0,7.33
PRJ_088,2023-01-11,7,8,0,9.62
PRJ_088,2023-01-12,9,10,0,11.9
PRJ_088,2023-01-13,10,12,1,14.49
PRJ_088,2023-01-14,14,12,1,17.49
PRJ_088,2023-01-15,17,11,4,20.5
PRJ_088,2023-01-16,18,14,5,22.81
PRJ_088,2023-01-17,22,16,5,25.78
PRJ_088,2023-01-18,24,16,6,29.01
PRJ_088,2023-01-19,26,17,6,32.49
PRJ_088,2023-01-20,29,15,7,36.06
PRJ_088,2023-01-21,34,13,8,38.96
PRJ_088,2023-01-22,36,13,8,41.39
PRJ_089,2023-01-07,0,6,0,2.33
PRJ_089,2023-01-08,3,6,0,4.2
PRJ_089,2023-01-09,4,6,0,6.07
PRJ_089,2023-01-10,5,8,0,7.93
PRJ_089,2023-01-11,8,8,0,10.18
PRJ_089,2023-01-12,10,7,0,11.99
PRJ_089,2023-01-13,11,9,0,13.39
PRJ_089,2023-01-14,13,9,2,15.16
PRJ_089,2023-01-15,13,10,4,17.01
PRJ_089,2023-01-16,14,11,5,19.2
PRJ_089,2023-01-17,16,11,6,21.24
PRJ_089,2023-01-18,19,10,7,23.06
PRJ_089,2023-01-19,21,11,7,24.63
PRJ_089,2023-01-20,24,10,8,26.41
PRJ_089,2023-01-21,25,18,10,28.06
PRJ_089,2023-01-22,26,20,12,30.84
PRJ_090,2023-01-07,0,5,0,1.33
PRJ_090,2023-01-08,1,8,0,3.0
PRJ_090,2023-01-09,3,7,0,5.67
PRJ_090,2023-01-10,5,8,0,8.0
PRJ_090,2023-01-11,9,8,0,10.44
PRJ_090,2023-01-12,10,8,0,12.89
PRJ_090,2023-01-13,12,8,3,15.33
PRJ_090,2023-01-14,16,8,4,17.78
PRJ_090,2023-01-15,17,9,5,19.49
PRJ_090,2023-01-16,19,10,5,21.27
PRJ_090,2023-01-17,20,10,7,23.0
